Competency,FLO,rubric_value,description,definition,characteristics
COMS,1,0 – Unsatisfactory,"Communication – COM1 Communication Strategies – Students apply a variety of communication strategies to effectively adapt their writing, oral, and non-verbal communication to meet the needs of diverse audiences and situations. ","Unsatisfactory performances neither meet the   expectations for Ferris graduates nor those for   incoming freshmen. This work exhibits profound   deficiencies and/or is incomplete.     Collaboration – COL2 Facilitate Others – Students engages team members in ways that facilitate their contributions to meetings by both constructively building upon or synthesizing the contributions of others as well as noticing when someone is not participating and inviting them to engage. Evaluated during the spring semester of odd-numbered years.    4 – Advanced Advanced performances exceed the expectations for Ferris graduates. This work shows an effective and well-developed response to the learning outcome. These students represent the strongest fraction of our graduates.   3 – Proficient Proficient performances meet the expectations for Ferris graduates. This work demonstrates a sufficient response to the learning outcome with regard to scope and accuracy. All students are expected to attain this level of ability by graduation.   2 – Progressing Developing performances approach the expectations for Ferris graduates. Although this work is more accomplished than that of novices, the scope and accuracy of the response does not yet satisfactorily address the learning outcome. This should be true of most first and second year students.  1 – Beginning Beginning performances do not meet the expectations for Ferris graduates. This work exhibits a novice level of ability with regard to addressing the learning outcome. This is the expected skill level for our incoming freshman.  0 – Unsatisfactory Unsatisfactory performances neither meet the expectations for Ferris graduates nor those for incoming freshmen. This work exhibits profound deficiencies and/or is incomplete.     Collaboration – COL3 Foster Team Environment – Students support a constructive team environment through appropriate communication, positive vocal and written tone and body language. Evaluated during the fall semester of odd-numbered years.      4 – Advanced   Advanced performances exceed the expectations for Ferris graduates. This work shows an effective and well-developed response to the learning outcome. These students represent the strongest fraction of our graduates.     3 – Proficient Proficient performances meet the expectations for Ferris graduates. This work demonstrates a sufficient response to the learning outcome with regard to scope and accuracy. All students are expected to attain this level of ability by graduation.   2 – Progressing Developing performances approach the expectations for Ferris graduates. Although this work is more accomplished than that of novices, the scope and accuracy of the response does not yet satisfactorily address the learning outcome. This should be true of most first and second year students.  1 – Beginning Beginning performances do not meet the expectations for Ferris graduates. This work exhibits a novice level of ability with regard to addressing the learning outcome. This is the expected skill level for our incoming freshman.  0 – Unsatisfactory Unsatisfactory performances neither meet the expectations for Ferris graduates nor those for incoming freshmen. This work exhibits profound deficiencies and/or is incomplete.     Collaboration – COL4 Conflict Resolution – Students address conflict directly and constructively, helping to manage/resolve it in a way that strengthens overall team cohesiveness and future effectiveness. Evaluated during the spring semester of even-numbered years.    4 – Advanced Advanced performances exceed the expectations for Ferris graduates. This work shows an effective and well-developed response to the learning outcome. These students represent the strongest fraction of our graduates.  3 – Proficient Proficient performances meet the expectations for Ferris graduates. This work demonstrates a sufficient response to the learning outcome with regard to scope and accuracy. All students are expected to attain this level of ability by graduation.   2 – Progressing Developing performances approach the expectations for Ferris graduates. Although this work is more accomplished than that of novices, the scope and accuracy of the response does not yet satisfactorily address the learning outcome. This should be true of most first and second year students.  1 – Beginning Beginning performances do not meet the expectations for Ferris graduates. This work exhibits a novice level of ability with regard to addressing the learning outcome. This is the expected skill level for our incoming freshman.  0 – Unsatisfactory Unsatisfactory performances neither meet the expectations for Ferris graduates nor those for incoming freshmen. This work exhibits profound deficiencies and/or is incomplete."," Does not consider audience when making choices of  content, structure, language, illustrations, non-  verbal cues, style, visual elements, or tone of voice.  Core Competency Scoring Rubric Ferris State University       Level                                                 Description  Engages team members in ways that facilitate their contributions to meetings by both constructively building upon or synthesizing the contributions of others as well as noticing when someone is not participating and inviting them to engage.     Engages team members in ways that facilitate their contributions to meetings by constructively building upon or synthesizing the contributions of others.      Engages team members in ways that facilitate their contributions to meetings by restating the views of other team members and/or asking questions for clarification.     Engages team members by taking turns and listening to others without interrupting.      Does not productively engage with other team members.  Core Competency Scoring Rubric Ferris State University      Level                                                  Description Creates a constructive team climate by performing all  of the following activities: 1) Treats team members respectfully by being polite and constructive in communication. 2) Uses positive vocal or written tone and/or body language to convey a positive attitude about the team and its work. 3) Motivates teammates by expressing confidence about the importance of the task and the team's ability to accomplish it. 4) Provides assistance and/or encouragement to team members.   Supports a constructive team climate by doing any three of the activities enumerated above.       Adds to a constructive team climate by doing any two of the activities enumerated above.       Participates in a constructive team climate by doing any one of the activities enumerated above.     Does not contribute in a way that fosters a constructive team climate.   Core Competency Scoring Rubric Ferris State University      Level                                                 Description  Addresses destructive conflict directly and constructively, helping to manage/resolve it in a way that strengthens overall team cohesiveness and future effectiveness.     Identifies and acknowledges conflict and stays engaged with it.        Redirecting focus toward common ground, toward task at hand (away from conflict).       Passively accepts alternate viewpoints/ideas/opinions.      Does not help to manage or resolve conflict within the group. "
COMS,2,4 – Advanced,"Communication – COMS2 Use of Information – Students will collect, assess, synthesize, and organize information or data and integrate that material into written, oral, or non-verbal communication that makes the appropriate contribution to a situation or discussion.",Advanced performances exceed the expectations for Ferris graduates.              ,"strategies applied to the most appropriate information sources and databases. Evaluation of information: Demonstrates critical selective discernment of seminal, precedential, or influential sources relevant to a specific purpose and audience. Integration of Material: Skillfully organizes, synthesizes, and contextualizes evidence. Consistently distinguishes between own ideas and ideas of others. Seamlessly knits together paraphrase, summary, or quotes that are appropriate to context and true to the intentions of the original discourses. Ethical and Legal Use of Information: Correct and contextual use of citations and references. Demonstrates a full understanding of the ethical and legal restrictions on the use of published, confidential, and/or proprietary information, including Fair Use Laws."
COMS,2,3 – Proficient,"Communication – COMS2 Use of Information – Students will collect, assess, synthesize, and organize information or data and integrate that material into written, oral, or non-verbal communication that makes the appropriate contribution to a situation or discussion.",Proficient performances meet the expectations for Ferris graduates. All students are expected to attain this level of ability by graduation.            ,"recognizing differences between primary, secondary and tertiary sources. Evaluation of information: Demonstrates critical selective discernment with choosing timely, credible sources relevant to a specific purpose and audience. Integration of Material: Organizes, synthesizes, and contextualizes evidence appropriately for communication goals. Distinguishes between own ideas and ideas of others. Chooses paraphrasing, summary, or quoting appropriate to context and true to the intentions of the original discourses. Ethical and Legal Use of Information: Correctly uses citations and references according to a format appropriate to the discipline. Demonstrates understanding of the ethical and legal restrictions on the use of published, confidential, and/or proprietary information, including Fair Use Laws. Distinguishes between common knowledge and ideas requiring attribution."
COMS,2,2 – Progressing,"Communication – COMS2 Use of Information – Students will collect, assess, synthesize, and organize information or data and integrate that material into written, oral, or non-verbal communication that makes the appropriate contribution to a situation or discussion.","Although this work is more accomplished than that of novices, the scope and accuracy of the response does not yet satisfactorily address the learning outcome.    ","create a system for organizing the information Evaluation of information: Uses credible sources which demonstrate more than one viewpoint. Integration of Material: Employs evidence to support claim(s) and argument(s). Presents some evidence with context. Distinction between own ideas and ideas of others is usually clear. Chooses paraphrasing, summary, or quoting appropriate to the context. Ethical and Legal Use of Information: Avoids plagiarism through use of citations and documentation according to at least one format. Distinguishes between common knowledge and ideas requiring attribution."
COMS,2,1 – Beginning,"Communication – COMS2 Use of Information – Students will collect, assess, synthesize, and organize information or data and integrate that material into written, oral, or non-verbal communication that makes the appropriate contribution to a situation or discussion.",Beginning performances do not meet the expectations for Ferris graduates. This work exhibits a novice level of ability with regard to addressing the learning outcome.      ,"information from limited and similar sources. Can select appropriate information technologies to gather information. Evaluation of information: Uses some appropriate sources, but chooses others which are not suitable for academic work. Integration of Material: Sporadically uses evidence to support claim(s) or argument(s). Little use of context. Intermittent distinction between own ideas and ideas of others. Ethical and Legal Use of Information: Avoids plagiarism through use of citations and documentation according to at least one format. Quotes correctly, although makes mistakes in paraphrase or summary. Distinguishes between common knowledge and ideas requiring attribution."
COMS,2,0 – Unsatisfactory,"Communication – COMS2 Use of Information – Students will collect, assess, synthesize, and organize information or data and integrate that material into written, oral, or non-verbal communication that makes the appropriate contribution to a situation or discussion.",Dissatisfactory performances neither meet the expectations for Ferris graduates nor those for incoming freshmen. This work exhibits profound deficiencies and/or is incomplete.      ,"select appropriate information technologies to gather information retrieves information that lacks relevance and quality Evaluation of information: Inappropriate use of sources Integration of Material: Inadequate use of evidence to support claim(s) or argument(s). Little use of context. Intermittent distinction between own ideas and ideas of others. Integration of Material: Claim(s) or argument(s) lack necessary evidence. Does not contextualize quotes and evidence. Does not distinguish between own ideas and ideas of others. Ethical and Legal Use of Information: Does not use citations and documentation to avoid plagiarism. Inconsistently paraphrases, summarizes, or quotes. Is not always able to distinguish between common knowledge and ideas requiring attribution."
COMS,3,4 – Advanced,Communication – COMS3 Message Clarity – Students will use language effectively in their writing and speaking with varied sentence structure and word choice appropriate to audience and situation ,  Advanced performances exceed the expectations for   Ferris graduates. This work shows an effective and   well-developed response to the learning outcome.   These students represent the strongest fraction of our   graduates.   ,"Demonstrates creative or innovative uses of verbal &  nonverbal choices, varying grammatical structure,  and choosing content focus(es) appropriate for the  type of oral communication situation, and the  audience member(s).    "
COMS,3,3 – Proficient,Communication – COMS3 Message Clarity – Students will use language effectively in their writing and speaking with varied sentence structure and word choice appropriate to audience and situation ,  Proficient performances meet the expectations for Ferris graduates. This work demonstrates a sufficient response to the learning outcome with regard to scope   and accuracy. All students are expected to attain this   level of ability by graduation.  ,"Demonstrates decisive ability to make verbal & nonverbal choices, to vary grammatical structure, and to choose content focus(es)  appropriate for the type of oral communication  situation, and the audience member(s).   "
COMS,3,2 – Progressing,Communication – COMS3 Message Clarity – Students will use language effectively in their writing and speaking with varied sentence structure and word choice appropriate to audience and situation ,"Developing performances approach the expectations for Ferris graduates. Although this work is more accomplished than that of novices, the scope and accuracy of the response does not yet satisfactorily address the learning outcome. This should be true of most first and second year students. ","Demonstrates basic ability to make verbal & nonverbal choices, to vary grammatical structure, and to choose content focus(es) appropriate for the type of oral communication situation, and the audience member(s)  "
COMS,3,1 – Beginning,Communication – COMS3 Message Clarity – Students will use language effectively in their writing and speaking with varied sentence structure and word choice appropriate to audience and situation ,  Beginning performances do not meet the expectations for Ferris graduates. This work exhibits a novice level of ability with regard to addressing the learning outcome. This is the expected skill level for our incoming freshman. ,"Demonstrates some ability to make verbal & nonverbal choices, to vary grammatical structure, and to choose content focus(es) appropriate for the type of oral communication situation, and the audience member(s)  "
COMS,3,0 – Unsatisfactory,Communication – COMS3 Message Clarity – Students will use language effectively in their writing and speaking with varied sentence structure and word choice appropriate to audience and situation ,Unsatisfactory performances neither meet the expectations for Ferris graduates nor those for incoming freshmen. This work exhibits profound deficiencies and/or is incomplete.,"choices, vary grammatical structure, and choose content focus(es) appropriate for the type of oral communication situation, and the audience member(s). "
COMS,4,4 – Advanced, Communication – COMS4 Relationship with others– Students will apply effective communication behaviors to develop relationships and to promote listening and discussion,Advanced performances exceed the expectations for Ferris graduates.    ,"Attending/ Active listening: Communicates empathy and compassion Whole messages (assertive). Utilizes messages that can be restated by the audience in the clarity and completeness of the original message Probing, persuasion: Asks focused, incisive questions and methodically persuading the audience"
COMS,4,3 – Proficient, Communication – COMS4 Relationship with others– Students will apply effective communication behaviors to develop relationships and to promote listening and discussion,Proficient performances meet the expectations for Ferris graduates. All students are expected to attain this level of ability by graduation.,"Attending/ Active listening: Demonstrates varied attending behaviors and paraphrasing, reflecting feelings, and probing Whole messages (assertive). Utilizes high fidelity messages that are clearly understood by the audience. Probing, persuasion: Asks questions and persuading the audience with whole messages"
COMS,4,2 – Progressing, Communication – COMS4 Relationship with others– Students will apply effective communication behaviors to develop relationships and to promote listening and discussion,"Although this work is more accomplished than that of novices, the scope and accuracy of the response does not yet satisfactorily address the learning outcome.","Attending/ Active listening: Demonstrates intentional nonverbal attending and active listening Whole messages (assertive). Utilizes messages with a clear topic and sufficient explanation and examples for understanding of the topic Probing, persuasion: Asking questions and seeking to change the perceptions or actions of an audience "
COMS,4,1 – Beginning, Communication – COMS4 Relationship with others– Students will apply effective communication behaviors to develop relationships and to promote listening and discussion,Beginning performances do not meet the expectations for Ferris graduates. This work exhibits a novice level of ability with regard to addressing the learning outcome.  ,"Attending/ Active listening: Demonstrates paying attention and offering advice Whole messages (assertive). Utilizes messages that the audience knows the topic and lacks the details to understand it fully Probing, persuasion: Willing to ask questions or to seek to change the perceptions or actions of an audience   Level                                            Description"
COMS,4,0 – Unsatisfactory, Communication – COMS4 Relationship with others– Students will apply effective communication behaviors to develop relationships and to promote listening and discussion,"Dissatisfactory performances neither meet the expectations for Ferris graduates nor those for incoming freshmen. This work exhibits profound deficiencies and/or is incomplete.    Definitions: Perspective taking Demonstrate awareness of audience frame of reference; Attending; Active listening: Utilizes verbal and/or nonverbal behaviors to adapt to audience Whole messages (assertive) Description of event, thoughts, feelings & needs; Probing, persuasion: Utilizes message(s) to promote response(s) from audience","perspective Attending/ Active listening: No attending or active listening Whole messages (assertive): Utilizes messages that are unclear or incomplete for the audience Probing, persuasion: Unable or unwilling to ask questions or to seek to change the perceptions or actions of an audience          "
COMW,1,4 – Advanced,"Communication – COM1 Communication Strategies – Students apply a variety of communication strategies to effectively adapt their writing, oral, and non-verbal communication to meet the needs of diverse audiences and situations. ",Advanced performances exceed the expectations for Ferris graduates. This work shows an effective and well-developed response to the learning outcome. These students represent the strongest fraction of our graduates. ,"continually adapt the content, structure, language, illustrations, non-verbal cues, style, visual elements, and tone of voice to the expectations, assumptions, and demographics of targeted audiences  "
COMW,1,3 – Proficient,"Communication – COM1 Communication Strategies – Students apply a variety of communication strategies to effectively adapt their writing, oral, and non-verbal communication to meet the needs of diverse audiences and situations. ",Proficient performances meet the expectations for Ferris graduates. This work demonstrates a sufficient response to the learning outcome with regard to scope and accuracy. All students are expected to attain this level of ability by graduation.  ,"illustrations, non-verbal cues, style, visual elements, and tone of voice to the expectations, assumptions, and demographics of targeted audiences   "
COMW,1,2 – Progressing,"Communication – COM1 Communication Strategies – Students apply a variety of communication strategies to effectively adapt their writing, oral, and non-verbal communication to meet the needs of diverse audiences and situations. ","Developing performances approach the expectations for Ferris graduates. Although this work is more accomplished than that of novices, the scope and accuracy of the response does not yet satisfactorily address the learning outcome. This should be true of most first and second year students. ","Considers the expectations, assumptions, and demographics of targeted audiences when making choices of content, structure, language, illustrations, non-verbal cues, style, visual elements, or tone of voice  "
COMW,1,1 – Beginning,"Communication – COM1 Communication Strategies – Students apply a variety of communication strategies to effectively adapt their writing, oral, and non-verbal communication to meet the needs of diverse audiences and situations. ",Beginning performances do not meet the expectations for Ferris graduates. This work exhibits a novice level of ability with regard to addressing the learning outcome. This is the expected skill level for our incoming freshman. ,"Attempts to establish common ground with an audience through choices of content, structure, language, illustrations, non-verbal cues, style, visual elements, or tone of voice  "
