original,new
X.68,StudentLife-Career_support_from_faculty_and_staff_-_Somewhat_Dissatisfied
X.69,StudentLife-Career_support_from_faculty_and_staff_-_Very_Dissatisfied
X.70,StudentLife-Preparation_for_work_-_Very_Satisfied
X.71,StudentLife-Preparation_for_work_-_Somewhat_Satisfied
X.72,StudentLife-Preparation_for_work_-_Somewhat_Dissatisfied
X.73,StudentLife-Preparation_for_work_-_Very_Dissatisfied
X.74,StudentLife-Preparation_for_continuing_education_-_Very_Satisfied
X.75,StudentLife-Preparation_for_continuing_education_-_Somewhat_Satisfied
X.76,StudentLife-Preparation_for_continuing_education_-_Somewhat_Dissatisfied
X.77,StudentLife-Preparation_for_continuing_education_-_Very_Dissatisfied
While.attending.Ferris.Kendall..were.you.active.in.any.registered.student.organizations..RSO.s..,RSO-No
X.78,RSO-1_semester
X.79,RSO-1_year
X.80,RSO-2-3_years
X.81,RSO-4_or_more_years
I.am.aware.of.FSU.KEN.career.resources.available.to.me.after.graduation.,Career-Yes
X.82,Career-No
Would.you.recommend.Ferris.Kendall.to.a.family.member.or.friend.,Recommend-Yes
X.83,Recommend-Possibly
X.84,Recommend-No
X.85,Recommend-Why_or_why_not?
Please.indicate.your.level.of.agreement.with.the.statement...I.m.proud.I.attended.Ferris.State.University.Kendall.College.of.Art...Design..,Proud-Strongly_Agree
X.86,Proud-Somewhat_Agree
X.87,Proud-Somewhat_Disagree
X.88,Proud-Strongly_Disagree
X.89,Proud-Why_or_why_not?
From.which.college.s..did.you.graduate...Select.all.that.apply..,College-College_of_Arts_&_Sciences
X.90,College-College_of_Business
X.91,College-College_of_Education_&_Human_Services
X.92,College-College_of_Engineering_Technology
X.93,College-College_of_Health_Professions
X.94,College-College_of_Optometry
X.95,College-College_of_Pharmacy
X.96,College-College_of_Professional_&_Technical_Studies
X.97,College-Kendall_College_of_Art_&_Design
What.do.you.feel.is.the.best.thing.about.Ferris.Kendall.,Best
If.you.could.change.something.about.Ferris.Kendall..what.would.it.be.,Change
Please.use.this.space.for.additional.comments.,AdditionalComments
